Annual Total Population at Mid-Year (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Note,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
728,         South Sudan,,   5 566,   5 666,   5 741,   5 777,   5 768,   5 705,   5 600,   5 491,   5 432,   5 460,   5 591,   5 814,   6 100,   6 406,   6 701,   6 974,   7 237,   7 502,   7 788,   8 109,   8 468,   8 857,   9 263,   9 671,   10 067,   10 449,   10 818,   11 177,   11 531,   11 882,   12 231,   12 576,   12 919,   13 263,   13 610
800,         Uganda,,   15 155,   15 695,   16 263,   16 846,   17 439,   18 040,   18 653,   19 275,   19 908,   20 550,   21 202,   21 866,   22 552,   23 273,   24 039,   24 855,   25 718,   26 625,   27 568,   28 544,   29 551,   30 590,   31 664,   32 772,   33 915,   35 094,   36 307,   37 554,   38 833,   40 145,   41 488,   42 863,   44 271,   45 712,   47 188
834,         United Republic of Tanzania,2,   22 511,   23 199,   23 910,   24 661,   25 460,   26 315,   27 220,   28 149,   29 071,   29 961,   30 812,   31 635,   32 452,   33 292,   34 178,   35 117,   36 106,   37 149,   38 250,   39 411,   40 635,   41 924,   43 270,   44 664,   46 099,   47 571,   49 083,   50 637,   52 235,   53 880,   55 572,   57 310,   59 091,   60 914,   62 775
894,         Zambia,,   7 171,   7 386,   7 600,   7 814,   8 027,   8 240,   8 452,   8 669,   8 896,   9 137,   9 394,   9 667,   9 950,   10 240,   10 531,   10 824,   11 120,   11 422,   11 732,   12 052,   12 383,   12 726,   13 083,   13 456,   13 850,   14 265,   14 700,   15 153,   15 621,   16 101,   16 591,   17 094,   17 609,   18 137,   18 679
716,         Zimbabwe,,   8 976,   9 293,   9 604,   9 903,   10 183,   10 443,   10 683,   10 906,   11 117,   11 320,   11 518,   11 710,   11 893,   12 065,   12 222,   12 366,   12 501,   12 634,   12 778,   12 940,   13 124,   13 330,   13 558,   13 811,   14 086,   14 387,   14 711,   15 055,   15 412,   15 777,   16 150,   16 530,   16 913,   17 297,   17 680
911,      Middle Africa,,   63 438,   65 231,   67 111,   69 133,   71 331,   73 737,   76 324,   79 005,   81 657,   84 196,   86 588,   88 876,   91 145,   93 522,   96 099,   98 904,   101 915,   105 116,   108 471,   111 954,   115 567,   119 320,   123 206,   127 219,   131 351,   135 600,   139 964,   144 443,   149 036,   153 743,   158 563,   163 495,   168 538,   173 693,   178 959
24,         Angola,,   10 921,   11 218,   11 514,   11 827,   12 171,   12 553,   12 968,   13 404,   13 841,   14 269,   14 682,   15 089,   15 504,   15 950,   16 441,   16 983,   17 573,   18 203,   18 866,   19 553,   20 262,   20 998,   21 759,   22 550,   23 369,   24 219,   25 096,   25 998,   26 920,   27 859,   28 813,   29 784,   30 774,   31 788,   32 827
120,         Cameroon,,   10 368,   10 696,   11 032,   11 372,   11 715,   12 061,   12 409,   12 759,   13 110,   13 461,   13 812,   14 165,   14 524,   14 892,   15 274,   15 672,   16 085,   16 514,   16 959,   17 421,   17 900,   18 395,   18 907,   19 433,   19 970,   20 520,   21 082,   21 656,   22 240,   22 835,   23 439,   24 054,   24 678,   25 313,   25 958
140,         Central African Republic,,   2 697,   2 755,   2 812,   2 873,   2 940,   3 015,   3 096,   3 181,   3 268,   3 353,   3 436,   3 517,   3 597,   3 677,   3 755,   3 832,   3 908,   3 982,   4 055,   4 128,   4 202,   4 276,   4 345,   4 404,   4 449,   4 476,   4 490,   4 500,   4 515,   4 546,   4 595,   4 659,   4 737,   4 826,   4 921
148,         Chad,,   5 243,   5 408,   5 584,   5 768,   5 957,   6 150,   6 349,   6 556,   6 772,   7 001,   7 241,   7 493,   7 759,   8 042,   8 343,   8 663,   9 002,   9 353,   9 710,   10 067,   10 422,   10 776,   11 134,   11 503,   11 887,   12 289,   12 705,   13 134,   13 569,   14 009,   14 453,   14 900,   15 353,   15 814,   16 285
